A,B,C,D,E,F,G
1647,-0.003148367,0.005003654,31770,-0.002239642,-0.010048298,-0.000151903
1648,-0.00130319,0.005722704,30572,0.004340474,-0.006296734,-0.000366208
1649,0.001980758,0.006677985,24228,0.006299659,0.00130319,-0.000746652
1650,-0.004201681,0.007949126,34669,-0.001977401,-0.002716469,-0.000603906
1651,-0.000905951,0.00554895,28457,-0.007411631,0.003122871,-0.000770183
1652,0.00752909,0.008555784,34464,-0.011621315,-0.012626692,-0.000585418
1653,0.000966238,0.006252131,26477,0.004699887,0.00159708,-0.000688553
1654,0.002615271,0.004832566,18499,0.002556818,0.000397863,-0.000372801
1655,0.006406259,0.010771586,40055,0.004195011,-0.000625391,-0.000409014
1656,-0.039373153,0.057888573,165664,-0.006587838,0.011962129,-0.000325371
1657,-0.003588235,0.012411765,60693,0.01358885,-0.049188556,2.82E-05
1658,0.013349297,0.01394792,37690,-0.015053129,-0.016941176,-0.001434275
1659,0.007708029,0.011270073,36533,0.008096927,0.025082311,-0.002175805
1660,-0.0028,0.008571429,32086,0.005214368,0.019036496,-0.001188427
1661,0.001705708,0.005571981,22064,-0.003722795,0.007314286,-0.000401952
1662,-0.006702337,0.008448324,24329,0.009250851,0.008244257,-0.000587866
1663,-0.006695415,0.00981616,39953,-0.00521542,-0.007828781,0.001709447
1664,0.001465697,0.005862788,24393,0.0076,0.007603268,0.002073943
1665,0.005615769,0.009378334,43624,0.004786036,0.003946107,0.001374781
1666,0.0045359,0.006471955,28150,0.007094972,0.014713315,0.000771166
1667,0.004942068,0.007083631,24712,0.003193833,0.006637902,0.001067127
1668,0.002515448,0.005413682,18982,-0.002404372,0.003734007,0.001002873
1669,0.007180443,0.012003947,36423,-0.004034896,-0.002296714,0.001465384
1670,0.001581243,0.004307525,24413,-0.003482046,0.006358255,0.001069385
1671,0.001146288,0.004748908,28007,-0.002339499,-0.001254089,0.001165871
1672,-0.002440612,0.004067686,23317,0.006543075,0.006168122,0.000527174
1673,0.002169668,0.006292037,23349,0.002336957,-0.00065083,0.000508383
1674,-0.000537172,0.003975075,21298,0.006114719,0.009004122,0.00033299
1675,0.001616902,0.004527326,20158,0.002634409,-0.003384186,0.000785023
1676,-0.001073134,0.005151044,20103,-0.003552207,0.004042255,0.000395326
1677,0.000107331,0.003756574,21995,-0.002040816,-0.001180447,0.000607179
1678,0.0022915,0.003517186,26252,0.00472103,0.001126972,0.000313237
1679,-0.001751499,0.004723741,24881,-0.002765957,0.003517186,0.000384349
1680,-0.001637872,0.004807946,31865,0.002819149,0.002016878,0.000164871
1681,-0.002058047,0.003852243,22903,-0.003386243,-0.001056691,0.000380914
1682,-0.002579355,0.005790388,25854,0.004915433,0.001477573,0.000176956
1683,-0.001591259,0.003553811,23633,-0.008553326,-0.007369585,0.000283277
1684,-5.29E-05,0.003966995,27606,0.004303932,0.003182517,-5.66E-05
1685,0.004056902,0.004952582,28040,0.003809524,0.003649635,-7.00E-05
1686,0.000574743,0.0039187,15610,0.006663169,0.00800843,-4.66E-06
1687,0.000941324,0.002301015,10787,-0.004958246,-0.001149485,0.000357943
1688,0.000990925,0.003807239,13968,0.004336468,0.00235331,0.00025286
1689,0.002404726,0.004495792,16461,-0.003385417,-0.00250339,0.000641776
1690,-0.000416667,0.001927083,13180,0.003336809,0.003711642,0.00041434
1691,0.001144224,0.00280855,13210,-0.002708333,0.000885417,0.00041682
1692,-0.001814318,0.002695558,22404,0.004469854,0.003328652,0.0001319
1693,0.000624902,0.004218091,21972,-0.00384216,-0.005028252,0.000311025
1694,-0.002027765,0.004263505,20401,-0.005463059,0.000676978,1.58E-05
1695,-0.00202787,0.004835691,21395,0.002916667,5.20E-05,0.000142977
1696,-0.002027343,0.005094349,26358,0.003489583,-0.000207987,-3.41E-06
1697,0.003326922,0.004574518,21869,0.00375,0.000519832,-4.71E-05
1698,0.000363184,0.003787486,20966,0.002435233,0.001611478,-0.000159497
1699,-0.0022459,0.004021728,24935,-0.002956432,-0.006692954,0.000106092
1700,-0.001097523,0.002247308,20055,0.002303665,-0.000887914,-0.000188706
1701,0.000679064,0.003499791,21560,0.007845188,0.000470367,-0.000226302
1702,-0.002346194,0.00375391,20641,0.001983299,0.001514835,-0.000199168
1703,-0.001831214,0.002354418,18037,-0.003918495,-0.003962461,-0.000159368
1704,0.001204441,0.004922497,28853,-0.001624738,-0.000941767,-0.000382325
1705,0.004447933,0.005494505,37076,-0.006171548,0.000733138,-0.000152278
1706,0.001929898,0.002816608,14058,0.003697917,0.003715332,-8.74E-05
1707,0.000517572,0.002225558,22253,0.00390625,0.005467326,4.24E-05
1708,-0.00222671,0.003883797,1734,-0.001861427,-0.000310543,0.000200463
1709,-0.004806436,0.007157411,18991,-0.004932503,-0.006684284,0.000346539
